char	Radical	Four Corner Code	Cangjie input code	Cangjie input code (Chinese)	Hanyu Da Zidian	Kang Xi	Remembering the Traditional Hanzi	RTH keyword	Remembering the Simplified Hanzi	RSH keyword
挣	64 支	5705	QNSD	手弓尸木	31874.060	0431.171			2223	struggle
挤	64 支	5002	QYKL	手卜大中	31875.020	0431.171			2718	squeeze
挥	64 支	5705	QBKQ	手月大手	31876.020	0431.171			599	brandish
挦	64 支		XQSMI	難手尸一戈	31876.040	0431.171				
挧	64 支	5702.0	QSMM	手尸一一	31876.091	0431.171				
挨	64 支	5303.4	QIOK	手戈人大	31888.050	0431.180	2207	suffer	2260	suffer
挩	64 支	5801.6	QCRU	手金口山	31887.071	0431.190				
挪	64 支	5702.7	QSQL	手尸手中	31876.050	0431.200	2937	transfer	2938	transfer
挫	64 支	5801.4	QOOG	手人人土	31885.030	0431.220	2051	frustrate	2106	frustrate
挬	64 支	5404.7	QJBD	手十月木	31878.030	0431.240				
挭	64 支	5104.6	QMLK	手一中大	31878.070	0431.250				
挮	64 支		QCNH	手金弓竹	31887.080	0431.260				
振	64 支	5103.2	QMMV	手一一女	31879.010	0431.280	2897	vibrate	2921	vibrate
挰	64 支		QRMG	手口一土	31883.020	0431.290				
挱	64 支		QEFH	手水火竹	31887.090	0431.300				
挲	64 支	3950.2	EHQ	水竹手	31877.100	0431.310				
挳	64 支	5101.1	QMVM	手一女一	31881.010	0431.330				
挴	64 支	5805.7	QOWY	手人田卜	31884.120	0431.340				
挵	64 支		QMGT	手一土廿	31877.110	0431.360				
挶	64 支	5702.7	QSSR	手尸尸口	31888.020	0431.370				
挷	64 支		QQJL	手手十中	31865.020	0431.380				
挸	64 支	5601.0	QBUU	手月山山	31882.010	0432.010				
挹	64 支	5601.7	QRAU	手口日山	31883.060	0432.030				
挺	64 支	5204.1	QNKG	手弓大土	31869.110	0432.040	2064	erect	2115	erect
挻	64 支	5204.1	QNKM	手弓大一	31871.060	0432.050				
挼	64 支	5204.7	QBV	手月女	31886.010	0432.070				
挽	64 支	5701.6	QNAU	手弓日山	31886.050	0432.090	2843	tow	2888	tow
挾	64 支	5403.8	QKOO	手大人人	31880.020	0432.160	2047	coerce		
挿	64 支	5205.6	QHJL	手竹十中	31884.100	0432.170				
捀	64 支	5705.4	QHEJ	手竹水十	31886.080	0432.180				
捁	64 支	5406.1	QHGR	手竹土口	31884.060	0432.210				
捂	64 支	5106.1	QMMR	手一一口	31878.090	0432.220				
捃	64 支	5706.7	QSKR	手尸大口	31887.150	0433.010				
捄	64 支	5303.2	QIJE	手戈十水	31878.020	0433.030				
捅	64 支	5702.7	QNIB	手弓戈月	31888.040	0433.060				
捆	64 支	5600.0	QWD	手田木	31882.050	0433.070	1822	lash together	1862	lash together
捇	64 支	5403.1	QGLC	手土中金	31877.160	0433.100				
捈	64 支	5809.1	QOMD	手人一木	31884.190	0433.110				
捉	64 支	5608.1	QRYO	手口卜人	31882.040	0433.120	2255	catch	2317	catch
捊	64 支	5204.7	QBND	手月弓木	31884.180	0433.150				
捋	64 支	5204.3	QBDI	手月木戈	31885.050	0433.170				
捌	64 支	5200.0	QRSN	手口尸弓	31883.050	0433.180				
捍	64 支	5604.1	QAMJ	手日一十	31881.050	0433.200				
捎	64 支	5902.7	QFB	手火月	31881.040	0433.250			1838	bring to
捏	64 支	5601.4	QHXM	手竹難一	31881.070	0434.010	1804	pinch	1842	pinch
捐	64 支	5602.7	QRB	手口月	31877.020 31882.060	0434.020	1794	contribute	2399	contribute
捑	64 支	5603.4	QANK	手日弓大	31882.030	0434.050				
捒	64 支		QDL	手木中	31878.060	0434.060				
捓	64 支		QMHL	手一竹中	31868.110	0434.070				
捔	64 支	5702.7	QNBG	手弓月土	31886.070	0434.080				
捕	64 支	5302.7	QIJB	手戈十月	31878.050	0434.090	2727	capture	2795	capture
捖	64 支	5301.1	QJMU	手十一山	31887.110	0434.100				
捗	64 支	5102.1	QYLH	手卜中竹	31881.020	0434.120				
捘	64 支	5304.7	QICE	手戈金水	31888.060	0434.130				
捙	64 支	5500.0	QJWJ	手十田十	31878.040	0434.180				
捚	64 支	5601.4	QWG	手田土	31881.060	0434.230				
捛	64 支		QRR	手口口	31883.030	0434.241				
捜	64 支	5504.7	QLWE	手中田水	31882.011	0434.241				
捝	64 支		XQCRU	難手金口山	31887.070	0434.241				
捞	64 支	5402	QTBS	手廿月尸	31878.010	0434.241			2127	scoop up
损	64 支	5608	QRBO	手口月人	31883.010	0434.241			1833	damage
捠	64 支		QOMC	手人一金	31884.130	0434.241				
捡	64 支	5801	QOMM	手人一一	31885.020	0434.241			2860	pick up
换	64 支	5708	XQNBK	難手弓月大	31886.040	0434.241			1327	exchange
捣	64 支	5702	QPYU	手心卜山	31887.020	0434.241			2875	pound with a pestle
捤	64 支		QSHU	手尸竹山	31888.011	0434.241				
捥	64 支	5301.2	QJNU	手十弓山	31907.020	0434.260				
捦	64 支		XQC	難手金	31900.050	0434.270				
捧	64 支	5505.3	QQKQ	手手大手	31890.080	0434.330	2531	carry in both hands	2603	carry in both hands
捨	64 支	5806.1	QOMR	手人一口	31900.040	0434.350	1814	abandon		
捩	64 支	5303.4	QHSK	手竹尸大	31907.040	0434.360				
捪	64 支		QHPA	手竹心日	31902.050	0435.030				
捫	64 支	5702.0	QAN	手日弓	31908.030	0435.050				
捬	64 支		QIOI	手戈人戈	31904.010	0435.060				
捭	64 支	5604.0	QHHJ	手竹竹十	31899.010	0435.080				
据	64 支	5706.4	QSJR	手尸十口	31909.010	0435.120			891	certificate
捯	64 支	5202.0	QMGN	手一土弓	31895.010	0435.130				
捰	64 支	5609.4	QWD	手田木	31896.060	0435.140				
捱	64 支	5101.4	QMGG	手一土土	31892.110	0435.150				
捲	64 支	5901.2	QFQU	手火手山	31906.030	0435.160	2382	roll up		
捳	64 支		QOMU	手人一山	31898.050	0435.180				
捴	64 支		QCIP	手金戈心	31902.020	0435.200				
捵	64 支	5508.1	QTBC	手廿月金	31897.040	0435.220				
捶	64 支	5201.4	QHJM	手竹十一	31897.130	0435.230				
捷	64 支	5508.1	QJLO	手十中人	31894.020	0435.240	2140	nimble	2211	nimble
捸	64 支	5503.2	QLE	手中水	31908.020	0435.250				
捹	64 支		QKJT	手大十廿	31893.030	0435.260				
捺	64 支	5409.1	QKMF	手大一火	31893.020	0435.290				
捻	64 支	5803.2	QOIP	手人戈心	31901.030	0435.300				
捼	64 支	5204.4	QHDV	手竹木女	31898.030	0435.310				
捽	64 支	5004.8	QYOJ	手卜人十	31904.030	0436.020				
捾	64 支		QJRR	手十口口	31906.080	0436.030				
捿	64 支		QJLV	手十中女	31894.030	0436.040				
掀	64 支	5708.2	QHLO	手竹中人	31899.030	0436.070	2129	uncover	2188	uncover
掁	64 支	5103.2	QSMV	手尸一女	31890.120	0436.100				
掂	64 支	5006.1	QIYR	手戈卜口	31903.040	0436.120				
掃	64 支	5702.7	QSMB	手尸一月	31908.040	0436.140	873	sweep		
掄	64 支	5802.7	QOMB	手人一月	31900.070	0436.150				
掅	64 支	5502.7	QQMB	手手一月	31890.090	0436.160				
掆	64 支		QBTU	手月廿山	31897.120	0436.170				
掇	64 支	5704.7	QEEE	手水水水	31909.080	0436.180				
授	64 支	5204.7	QBBE	手月月水	31901.020	0436.190	618	confer	668	confer
掉	64 支	5104.6	QYAJ	手卜日十	31896.010	0436.200	569	drop	607	drop
掊	64 支	5006.1	QYTR	手卜廿口	31904.050	0437.010				
掋	64 支		QIHM	手戈竹一	31904.020	0437.030				
掌	64 支	9050.2	FBRQ	火月口手	31889.020	0437.050	1897	palm of the hand	1956	palm of the hand
掍	64 支	5601.1	QAPP	手日心心	31896.070	0437.070				
掎	64 支	5402.1	QKMR	手大一口	31893.040	0437.080				
掏	64 支	5702.0	QPOU	手心人山	31902.060	0437.090	2837	draw out	2885	draw out
掐	64 支	5707.7	QNHX	手弓竹難	31902.070	0437.110				
掑	64 支	5408.1	QTMC	手廿一金	31891.040	0437.120				
排	64 支	5101.1	QLMY	手中一卜	31895.030	0437.130	1213	row	1270	row
掓	64 支		QYFE	手卜火水	31895.040	0437.140				
掔	64 支	7750.2	SEQ	尸水手	31889.010	0437.160				
掕	64 支		QGCE	手土金水	31890.160	0437.170				
掖	64 支	5004.7	QYOK	手卜人大	31903.050	0437.190				
掗	64 支	5101.7	QMLM	手一中一	31891.010	0438.010				
掘	64 支	5707.2	QSUU	手尸山山	31909.020	0438.020	2090	excavate	2144	excavate
掙	64 支	5205.7	QBSD	手月尸木	31901.021	0438.030	2153	struggle		
掚	64 支		QMLB	手一中月	31892.100	0438.040				
掛	64 支	5300.0	QGGY	手土土卜	31890.130	0438.050	567	hang		
掜	64 支	5701.7	QHXU	手竹難山	31898.060	0438.060				
掝	64 支	5305.0	QIRM	手戈口一	31892.080	0438.070				
掞	64 支	5908.9	QFF	手火火	31906.060	0438.080				
掟	64 支	5308.1	QJMO	手十一人	31906.070	0438.100				
掠	64 支	5009.6	QYRF	手卜口火	31903.020	0438.110	1813	pillage	1853	pillage
採	64 支	5209.4	QBD	手月木	31901.010	0438.120	615	pick		
探	64 支	5709.4	QBCD	手月金木	31907.060	0438.140	1002	spy	1078	spy
掣	64 支	2250.2	HNQ	竹弓手	31889.040	0439.010				
掤	64 支	5702.0	QBB	手月月	31902.030	0439.030				
接	64 支	5004.4	QYTV	手卜廿女	31905.010	0439.040	566	welcome	604	welcome
掦	64 支		QAPH	手日心竹	31897.030	0439.050				
控	64 支	5301.1	QJCM	手十金一	31906.090	0439.070	999	control	1076	control
推	64 支	5001.4	QOG	手人土	31898.070	0439.080	565	push	600	push
掩	64 支	5401.6	QKLU	手大中山	31893.050 31944.050	0439.090	2034	conceal	1485	conceal
措	64 支	5406.1	QTA	手廿日	31891.030	0439.100	2172	arrange	2240	arrange
掫	64 支	5104.7	QSJE	手尸十水	31891.050	0439.110				
掬	64 支	5702.0	QPFD	手心火木	31903.010	0440.020				
掭	64 支	5203.3	QHKP	手竹大心	31890.110	0440.181				
掮	64 支	5302.7	QHSB	手竹尸月	31907.050	0440.181				
掯	64 支	5102.7	QYMB	手卜一月	31895.050	0440.181				
掰	64 支	2255.0	QCHQ	手金竹手	31890.020	0440.181				
掱	64 支	2055.2	QQQ	手手手	31889.030	0440.181				
掲	64 支	5602.7	XQAPP	難手日心心	31897.031	0440.181				
掳	64 支	5102	XQYPS	難手卜心尸	31896.030	0440.181				
掴	64 支	5600.0	QWMI	手田一戈	31897.010	0440.181				
掵	64 支	5802.7	QOML	手人一中	31900.071	0440.181				
掶	64 支		QILO	手戈中人	31904.031	0440.181				
掷	64 支	5702	XQTKL	難手廿大中	31906.040	0440.181			2923	hurl
掸	64 支	5805	QCWJ	手金田十	31906.050	0440.181				
掹	64 支		QNDT	手弓木廿	31909.041	0440.181				
掺	64 支	5302	QIKH	手戈大竹	31909.060	0440.181				
掻	64 支	5703.6	QELI	手水中戈	31909.061	0440.181				
掼	64 支	5708	QWJO	手田十人	31910.020	0440.181				
掽	64 支	5801.7	QTTC	手廿廿金	31923.110	0440.190				
掾	64 支	5703.2	QVNO	手女弓人	31927.010	0440.200				
掿	64 支		QTKR	手廿大口	31892.020	0440.210				
揀	64 支	5509.6	QDWF	手木田火	31913.080	0440.220	1241	opt for		
揁	64 支		QYBC	手卜月金	31914.060	0440.230				
揂	64 支	5806.0	QTCW	手廿金田	31921.030	0440.250				
揃	64 支	5802.1	QTBN	手廿月弓	31923.130	0440.260				
揄	64 支	5802.1	QOMN	手人一弓	31921.020	0440.270				
揅	64 支	1150.2	MTQ	一廿手	31910.050 31940.030	0441.020				
揆	64 支	5203.4	QNOK	手弓人大	31926.080	0441.040				
揇	64 支	5402.7	QJBJ	手十月十	31913.010	0441.050				
揈	64 支	5702.0	QPYR	手心卜口	31922.060	0441.070				
揉	64 支	5709.4	QNHD	手弓竹木	31926.100	0441.100	933	knead	1006	knead
揊	64 支	5106.6	QMRW	手一口田	31913.050	0441.120				
揋	64 支	5603.2	QWMV	手田一女	31917.010	0441.130				
揌	64 支	5603.0	QWP	手田心	31917.030	0441.140				
揍	64 支	5503.4	QQKK	手手大大	31911.040	0441.150				
揎	64 支	5301.6	QJMM	手十一一	31924.040	0441.160				
描	64 支	5406.0	QTW	手廿田	31892.030	0441.170	1807	describe	1846	describe
提	64 支	5608.1	QAMO	手日一人	31915.020	0441.220	563	bring up	598	bring up
揑	64 支		QHXM	手竹難一	31919.060	0441.230				
插	64 支	5207.7	QHJX	手竹十難	31918.050	0441.240	2912	insert	2958	insert
揓	64 支	5801.2	QYSD	手卜尸木	31923.080	0442.010				
揔	64 支		QPKP	手心大心	31922.050	0442.020				
揕	64 支	5401.1	QTMV	手廿一女	31911.080	0442.030				
揖	64 支	5604.1	QRSJ	手口尸十	31916.010	0442.040				
揗	64 支	5206.4	QHJU	手竹十山	31920.100	0442.050				
揘	64 支	5601.4	QHAG	手竹日土	31920.030	0442.060				
揙	64 支	5302.7	QHSB	手竹尸月	31925.050	0442.070				
揚	64 支	5602.7	QAMH	手日一竹	31914.110	0442.080	1818	publicize		
換	64 支	5703.4	QNBK	手弓月大	31922.041	0442.140	810	exchange		
揜	64 支	5804.6	QOMT	手人一廿	31921.010	0442.150				
揝	64 支	5806.4	QHOA	手竹人日	31922.070	0443.010				
揞	64 支	5006	QYTA	手卜廿日	31923.070	0443.020				
揟	64 支	5702.7	QNOB	手弓人月	31926.060	0443.030				
揠	64 支	5101.4	QSAV	手尸日女	31913.040	0443.040				
握	64 支	5701.4	QSMG	手尸一土	31925.070	0443.070	825	grip	887	grip
揢	64 支		QJHR	手十竹口	31924.100	0443.090				
揣	64 支	5202.7	QUMB	手山一月	31917.060	0443.130	2163	conjecture	2234	conjecture
揤	64 支	5702.0	QAIL	手日戈中	31920.040	0443.150				
揥	64 支	5002.7	QYBB	手卜月月	31923.060	0443.210				
揦	64 支		QDLN	手木中弓	31913.060	0443.220				
揧	64 支	5250.2	DNQ	木弓手	31910.040	0443.230				
揨	64 支	5002.1	QYRN	手卜口弓	31922.100	0443.240				
揩	64 支	5106.1	QPPA	手心心日	31914.030	0443.250				
揪	64 支	5908.0	QHDF	手竹木火	31919.010	0444.010	1965	hold tight	770	hold tight
揫	64 支	2950.2	HFQ	竹火手	31910.090	0444.020				
揬	64 支		QJCK	手十金大	31924.060	0444.040				
揭	64 支	5602.7	QAPV	手日心女	31916.050	0444.050	2062	reveal	2112	reveal
揮	64 支	5705.6	QBJJ	手月十十	31925.040	0444.100	564	brandish		
揯	64 支	5101.2	QPMM	手心一一	31924.020	0444.120				
揰	64 支	5201.4	QHJG	手竹十土	31919.030	0444.160				
揱	64 支	9250.2	FNQ	火弓手	31910.060	0444.180				
揲	64 支	5409.4	QPTD	手心廿木	31911.150	0444.190				
揳	64 支	5703.4	QQHK	手手竹大	31911.030	0444.200				
援	64 支	5204.7	QBME	手月一水	31921.050	0445.020	2326	provide assistance	2397	provide assistance
揵	64 支	5504.4	QNKQ	手弓大手	31908.010	0445.040				
揶	64 支	5702.7	QSJL	手尸十中	31892.010	0445.340				
揷	64 支		XQHJL	難手竹十中	31918.051	0445.341				
揸	64 支	5401	QDAM	手木日一	31913.020	0445.341				
揹	64 支	5102.7	QLPB	手中心月	31914.050	0445.341				
揺	64 支	5207.2	QBMU	手月一山	31921.041	0445.341				
揻	64 支		QIHV	手戈竹女	31913.110	0445.341				
揼	64 支		QMRE	手一口水	31913.111	0445.341				
揽	64 支	5801	QLIU	手中戈山	31914.090	0445.341			2266	take on
揾	64 支		QABT	手日月廿	31916.030	0445.341				
揿	64 支	5708	XQCNO	難手金弓人	31918.040	0445.341				
搀	64 支	5703	QNUY	手弓山卜	31922.040	0445.341				
搁	64 支	5702	QLSR	手中尸口	31923.090	0445.341			2622	put aside
搂	64 支	5904	QFDV	手火木女	31923.120	0445.341			2046	cuddle
搃	64 支		QCRP	手金口心	80025.160	0445.341				
搄	64 支		XQPMM	難手心一一	31924.011	0445.341				
搅	64 支	5901	QFBU	手火月山	31924.030	0445.341			601	stir
搆	64 支	5504.7	QTTB	手廿廿月	31928.070	0445.360				
搇	64 支		QOIV	手人戈女	31934.040	0445.370				
搈	64 支		QJCR	手十金口	31937.060	0445.380				
搉	64 支	5401.4	QOBG	手人月土	31937.090	0445.400				
搊	64 支	5702.7	QPUU	手心山山	31935.070	0445.420				
搋	64 支	5101.1	QHYU	手竹卜山	31932.140	0446.040				
搌	64 支	5703.2	QSTV	手尸廿女	31938.050	0446.050				
損	64 支	5608.6	QRBC	手口月金	31931.100	0446.060	1797	damage		
搎	64 支	5209.3	QNDF	手弓木火	31938.090	0446.120				
搏	64 支	5304.2	QIBI	手戈月戈	31930.010	0446.140	1339	wrestle	1382	wrestle
搐	64 支	5006.3	QYVW	手卜女田	31936.040	0446.200				
搑	64 支		QTSJ	手廿尸十	31929.020	0446.210				
搒	64 支	5002.7	QYBS	手卜月尸	31936.030	0446.220				
搓	64 支	5801.1	QTQM	手廿手一	31923.100	0446.240			1861	massage
搔	64 支	5703.6	QEII	手水戈戈	31939.060	0446.250				
搕	64 支	5401.7	QGIT	手土戈廿	31928.130	0446.260				
搖	64 支	5207.2	QBOU	手月人山	31935.051	0446.270	1408	shake		
搗	64 支	5702.7	QHAU	手竹日山	31934.060	0447.010	2820	pound with a pestle		
搘	64 支	5406.1	QJPA	手十心日	31928.110	0447.020				
搙	64 支		QMVI	手一女戈	31930.080	0447.030				
搚	64 支	5402.7	QKSB	手大尸月	31938.120	0447.040				
搛	64 支	5803.7	QTXC	手廿難金	31936.060	0447.050				
搜	64 支	5704.7	QHXE	手竹難水	31919.070	0447.070	2925	search	2966	search
搝	64 支		QHUK	手竹山大	31932.100	0447.090				
搞	64 支	5002.7	QYRB	手卜口月	31935.080	0447.100	1819	engage in	1849	engage in
搟	64 支	5104.0	QJJJ	手十十十	31929.080	0447.110				
搠	64 支	5702.0	QTUB	手廿山月	31936.070	0447.120				
搡	64 支	5709.4	QEED	手水水木	31939.070	0447.140				
搢	64 支	5106.1	QMIA	手一戈日	31929.050	0447.150				
搣	64 支	5305.0	QIHF	手戈竹火	31930.090	0447.160				
搤	64 支	5801.7	QTCT	手廿金廿	31936.050	0447.180				
搥	64 支	5703.7	QYHR	手卜竹口	31920.060	0447.190				
搦	64 支	5702.7	QNMM	手弓一一	31938.080	0447.210				
搧	64 支	5302.7	QHSM	手竹尸一	31937.070	0447.230				
搨	64 支	5602.7	QASM	手日尸一	31931.080	0447.240				
搩	64 支		QNQD	手弓手木	31935.050	0447.250				
搪	64 支	5006.7	QILR	手戈中口	31936.020	0448.010				
搫	64 支	2750.2	HEQ	竹水手	31927.080	0448.020				
搬	64 支	5704.7	QHYE	手竹卜水	31933.020	0448.030	1354	relocate	1398	relocate
搭	64 支	5406.1	QTOR	手廿人口	31912.030	0448.040	1812	put up	1852	put up
搮	64 支	5109.4	QMWD	手一田木	31930.050	0448.050				
搯	64 支	5207.7	QBHX	手月竹難	31934.010	0448.060				
搰	64 支	5702.7	QBBB	手月月月	31918.030	0448.070				
搱	64 支		QSYJ	手尸卜十	31938.070	0448.110				
搲	64 支		QJCO	手十金人	31937.050	0448.120				
搳	64 支	5306.1	QJQR	手十手口	31937.010	0448.130				
搴	64 支	3050.2	JTCQ	十廿金手	31928.030	0448.150				
搵	64 支	5601.7	QWOT	手田人廿	31932.051	0448.160				
搶	64 支	5806.7	QOIR	手人戈口	31934.030	0448.220	2559	rob		
搷	64 支	5408.1	QJBC	手十月金	31929.060	0448.230				
搹	64 支	5102.7	QMRB	手一口月	31930.040	0448.250				
携	64 支	5002.7	QOGS	手人土尸	31932.080	0448.260			1879	take along
搻	64 支		OMRQ	人一口手	31928.020	0448.310				
搼	64 支		QFQQ	手火手手	31933.030	0449.030				
搽	64 支	5409.4	QTOD	手廿人木	31912.020	0449.081				
搾	64 支	5301.1	QJCS	手十金尸	31937.040	0449.081				
搿	64 支	2255.0	QORQ	手人口手	31928.010	0449.081				
摀	64 支	5702.7	QHRF	手竹口火	31935.020	0449.081				
摁	64 支	5603.0	QWKP	手田大心	31932.010	0449.081				
摂	64 支	5103.2	QSJO	手尸十人	31928.131	0449.081				
摃	64 支	5108.2	QMBC	手一月金	31928.100	0449.081				
摄	64 支	5104	XQSJE	難手尸十水	31929.010	0449.081			1973	take a photo
摅	64 支	5103	XQYPP	難手卜心心	31931.040	0449.081				
摆	64 支	5603	QWLI	手田中戈	31932.050	0449.081			1914	put in order
摇	64 支	5207	XQBOU	難手月人山	31933.060	0449.081			1446	shake
摈	64 支	5308	QJOC	手十人金	31937.030	0449.081				
摊	64 支	5001	QEOG	手水人土	31939.040	0449.081			645	vendor's stand
摋	64 支	5704.7	QKCE	手大金水	31933.050	0449.090				
摌	64 支		QYKM	手卜大一	31948.120	0449.120				
摍	64 支	5306.1	QJOA	手十人日	31950.010	0449.130				
摎	64 支	5702.2	QSMH	手尸一竹	31950.140	0449.140				
摏	64 支		QQKX	手手大難	31941.080	0449.150				
摐	64 支	5808.1	QHOO	手竹人人	31947.150	0449.160				
摑	64 支	5600.0	QWIM	手田戈一	31946.040	0449.220				
摒	64 支	5704.1	QSTT	手尸廿廿	31926.010	0449.250				
摓	64 支	5703.5	QYHJ	手卜竹十	31935.040	0449.260				
摔	64 支	5004.3	QYIJ	手卜戈十	31949.040	0449.270	1276	tumble	1323	tumble
摕	64 支		QKPB	手大心月	31942.050	0449.280				
摖	64 支		QBOF	手月人火	31948.060	0449.290				
摗	64 支		QDLO	手木中人	31943.020	0449.300				
摘	64 支	5002.7	QYCB	手卜金月	31949.010	0449.320	1821	handpick	1858	handpick
摙	64 支	5503.0	QYJJ	手卜十十	31942.100	0449.340				
摚	64 支		QFBG	手火月土	31945.060	0449.360				
摛	64 支	5002.7	QYUB	手卜山月	31935.110	0450.010				
摜	64 支	5508.6	QWJC	手田十金	31951.020	0450.050				
摝	64 支	5001.1	QIXP	手戈難心	31948.140	0450.070				
摞	64 支	5609.3	QWVF	手田女火	31946.060	0450.080				
摟	64 支	5504.4	QLWV	手中田女	31946.020	0450.090	2952	cuddle		
摠	64 支	5603.0	QHWP	手竹田心	31947.130	0450.100				
摡	64 支	5101.1	QAIU	手日戈山	31947.110	0450.110				
摢	64 支		QYPD	手卜心木	31945.030	0450.140				
摣	64 支		QYPM	手卜心一	31945.020	0450.150				
摤	64 支		QKKK	手大大大	31944.060	0450.170				
摥	64 支	5802.7	QOAH	手人日竹	31947.060	0450.210				
摦	64 支	5203.0	QKSO	手大尸人	31944.030	0450.220				
摧	64 支	5201.4	QUOG	手山人土	31946.080	0450.230	2036	wreck	1938	wreck
摨	64 支	5705.3	QSYQ	手尸卜手	31964.010	0450.240				
摩	64 支	0025.2	IDQ	戈木手	31940.070	0450.280	1790	rub	586	rub
摪	64 支		QVMI	手女一戈	31950.120	0451.010				
摫	64 支	5601.0	QQOU	手手人山	31941.090	0451.080				
摬	64 支	5001.6	QYTU	手卜廿山	31948.150	0451.090				
摭	64 支	5003.7	QITF	手戈廿火	31948.080	0451.100				
摮	64 支	5850.2	GKQ	土大手	31927.020	0451.120				
摯	64 支	4450.2	GIQ	土戈手	31939.100	0451.180	2494	earnest		
摰	64 支	4550.2	GIQ	土戈手	31939.090	0451.190				
摱	64 支		QAWE	手日田水	31946.010	0451.210				
摲	64 支	5202.1	QJJL	手十十中	31942.090	0451.230				
摳	64 支	5101.6	QSRR	手尸口口	31943.040	0451.240				
摴	64 支	5102.7	QMBS	手一月尸	31944.080	0451.250				
摵	64 支	5305.0	QIHF	手戈竹火	31944.020	0452.010				
摶	64 支	5504.3	QJII	手十戈戈	31942.110	0452.030				
摷	64 支	5209.4	QVVD	手女女木	31951.040 31978.030	0452.040				
摸	64 支	5403.4	QTAK	手廿日大	31929.040	0452.050	1808	grope	1845	grope
摹	64 支	4450.2	TAKQ	廿日大手	31927.040	0452.060				
摺	64 支	5706.2	QSMA	手尸一日	31950.130	0452.080				
摻	64 支	5302.2	QIIH	手戈戈竹	31951.010	0452.100				
摼	64 支		QSEG	手尸水土	31943.050	0452.110				
摽	64 支	5109.1	QMWF	手一田火	31943.060	0452.120				
摾	64 支		XQNRI	難手弓口戈	31950.100	0453.020				
摿	64 支	5806.1	QOYA	手人卜日	31948.020	0453.060				
撀	64 支		GEQ	土水手	31940.010	0453.120				
撁	64 支		QYVQ	手卜女手	31949.050	0453.191				
撂	64 支	5606.4	QWHR	手田竹口	31946.050	0453.191				
撃	64 支	5750.2	XJEQ	難十水手	31940.021	0453.191				
撄	64 支	5704	QBOV	手月人女	31947.020	0453.191				
撅	64 支	5108.2	QMTO	手一廿人	31955.010	0453.200				
撆	64 支		FKQ	火大手	31940.040	0453.210				
撇	64 支	5804.0	QFBK	手火月大	31945.050	0453.220	1982	cast aside	2043	cast aside
撈	64 支	5902.7	QFFS	手火火尸	31963.020	0453.230	2072	scoop up		
撉	64 支	0850.4	YKQ	卜大手	31952.070	0453.240				
撊	64 支	5702.0	QANB	手日弓月	31963.090	0453.260				
撋	64 支	5702.0	QANG	手日弓土	31963.080	0453.270				
撌	64 支	5508.6	QLMC	手中一金	31958.030	0453.290				
撍	64 支		QMUA	手一山日	31956.010 80026.080	0453.310				
撎	64 支		QGBT	手土月廿	31953.050	0453.340				
撏	64 支	5704.6	QSMI	手尸一戈	31963.070	0454.010				
撐	64 支	5905.2	QFBQ	手火月手	31956.060	0454.030	2784	prop up		
撑	64 支	5905	QFBQ	手火月手	31957.010	0454.040			1957	prop up
撒	64 支	5804.0	QTBK	手廿月大	31953.090	0454.070	901	scatter	977	scatter
撓	64 支	5401.1	QGGU	手土土山	31952.140	0454.080	1805	chafe		
撔	64 支		QAYF	手日卜火	31958.010	0454.100				
撕	64 支	5202.1	QTCL	手廿金中	31953.060	0454.150	2672	rip	2739	rip
撖	64 支	5804.0	QMJK	手一十大	31950.090	0454.190				
撗	64 支	5408.6	QTMC	手廿一金	31953.080	0454.200				
撘	64 支	5806.1	QHOR	手竹人口	31960.020	0454.210				
撙	64 支	4804.6	QTWI	手廿田戈	31962.070	0454.220				
撚	64 支	5303.3	QBKF	手月大火	31961.050	0454.230				
撛	64 支		QFDQ	手火木手	31962.060	0454.240				
撜	64 支	5201.8	QNOT	手弓人廿	31964.050	0454.250				
撝	64 支	4202.7	QIKF	手戈大火	31924.010	0454.260				
撞	64 支	5001.4	QYTG	手卜廿土	31961.090	0455.010	1820	bump into	1857	bump into
撟	64 支	5202.7	QHKB	手竹大月	31959.030	0455.030				
撠	64 支	5305.0	QJJI	手十十戈	31954.040	0455.040				
撡	64 支		QIIP	手戈戈心	31965.010	0455.070				
撢	64 支	5104.6	QMWJ	手一田十	31954.100	0455.080				
撣	64 支	5605.6	QRRJ	手口口十	31958.050	0455.090				
撤	64 支	5804.0	QYBK	手卜月大	31962.030	0455.100	1873	remove	1918	remove
撥	64 支	5204.7	QNOE	手弓人水	31964.060	0455.110	2638	allocate		
撦	64 支	5406.4	QKJA	手大十日	31944.040	0455.120				
撧	64 支		QVFU	手女火山	31965.030	0455.130				
撨	64 支		QOGF	手人土火	31960.060	0456.020				
撩	64 支	5409.6	QKCF	手大金火	31955.020	0456.070				
撪	64 支		QIKJ	手戈大十	31964.040	0456.080				
撫	64 支	5803.1	QOTF	手人廿火	31958.060	0456.090	1296	comfort		
撬	64 支	5201.4	QHUU	手竹山山	31959.020	0456.140				
播	64 支	5206.9	QHDW	手竹木田	31960.120	0456.150	1380	broadcast	1420	broadcast
撮	64 支	5604.7	QASE	手日尸水	31957.020	0456.180				
撯	64 支		QTQU	手廿手山	31962.050	0456.220				
撰	64 支	5708.1	QRUC	手口山金	31964.030	0456.230	2705	compose	2769	compose
撱	64 支	5402.7	QNLB	手弓中月	31950.110	0457.010				
