char	Radical	Four Corner Code	Cangjie input code	Cangjie input code (Chinese)	Hanyu Da Zidian	Kang Xi	Remembering the Traditional Hanzi	RTH keyword	Remembering the Simplified Hanzi	RSH keyword
乏	4 乙乚乛	2030.7	HINO	竹戈弓人	10034.030	0082.100	922	weary	991	weary
乐	4 乙乚乛	7290	HVD	竹女木	10037.050	0082.131			662	music
乑	4 乙乚乛		OHHO	人竹竹人	10038.050	0082.150				
乒	4 乙乚乛	7220.1	OMH	人一竹	10038.030	0083.011	2999	ping	2999	ping
乓	4 乙乚乛	7203.1	OMI	人一戈	10038.040	0083.011	3000	pong	3000	pong
乔	37 女	2022	HKLL	竹大中中	10038.010	0083.011			441	pretend
乕	4 乙乚乛	7222.7	HQB	竹手月	10069.230	0083.021				
乖	4 乙乚乛	2011.1	HJLP	竹十中心	10038.180	0083.030	1677	well-behaved	1705	well-behaved
乗	4 乙乚乛	2090.4	HDT	竹木廿	10039.080	0083.081				
乘	4 乙乚乛	2090.1	HDLP	竹木中心	10040.010	0083.090	1678	hitch a ride	1706	hitch a ride
乙	5 亅	1771.0	NU	弓山	10047.040	0083.150	91	second	95	second
乚	5 亅		XU	難山	10048.041	0083.170				
乛	5 亅		XN	難弓	10048.042	0083.171				
乜	5 亅	4771.2	PN	心弓	10049.090	0083.180				
九	5 亅	4001.7	KN	大弓	10048.050	0083.190	9	nine	9	nine
乞	5 亅	8071.7	ON	人弓	10050.070	0084.030	434	beg	470	beg
也	5 亅	4471.2	PD	心木	10050.050	0084.040	476	also	505	also
习	15 几	1712	SIM	尸戈一	10051.030	0084.051			545	learn
乡	52 广	2020	VVH	女女竹	10051.050	0084.051			1387	countryside
乢	5 亅	2271.0	XXXUA	難難難山日	10760.010	0084.071				
乣	5 亅		VIU	女戈山	10052.060	0084.071				
乤	5 亅		MYN	一卜弓	10051.101	0084.071				
乥	5 亅		HCN	竹金弓	10051.161	0084.071				
书	2 丶	5302	IDS	戈木尸	10052.050	0084.071			1393	book
乧	5 亅		YJN	卜十弓	10053.011	0084.101				
乨	5 亅		IRU	戈口山	10053.120	0084.110				
乩	5 亅	2261.0	YRU	卜口山	10053.050	0084.120				
乪	5 亅		NW	弓田	10053.070	0084.141				
乫	5 亅		KRN	大口弓	10053.111	0084.141				
乬	5 亅		SSN	尸尸弓	10052.091	0084.141				
乭	5 亅		MRN	一口弓	10053.041	0084.141				
乮	5 亅		HLN	竹中弓	10053.081	0084.141				
乯	5 亅		HFDN	竹火木弓	10053.082	0084.141				
买	37 女	1780	NYK	弓卜大	10053.100	0084.141			858	buy
乱	5 亅	2261.0	HRU	竹口山	10053.170	0084.150			100	chaos
乲	5 亅		ION	戈人弓	10053.171	0084.161				
乳	5 亅	2241.0	BDU	月木山	10055.040	0084.170	2362	breast	2430	breast
乴	5 亅		QLN	手中弓	10054.010	0084.180				
乵	5 亅		YJU	卜十山	10055.050	0084.190				
乶	5 亅		IBN	戈月弓	10054.021	0084.201				
乷	5 亅		EHN	水竹弓	10055.051	0084.201				
乸	80 比		PDWYI	心木田卜戈	42382.040	0084.201				
乹	5 亅		XJJU	難十十山	10056.010	0084.210				
乺	5 亅		XHLN	難竹中弓	10056.041	0084.241				
乻	5 亅		YYN	卜卜弓	10056.051	0084.241				
乼	5 亅		EGN	水土弓	10056.052	0084.241				
乽	5 亅		JAN	十日弓	10056.071	0084.241				
乾	5 亅	4841.7	JJON	十十人弓	10056.100	0084.250	436	dry		
乿	5 亅	2291.0	BFU	月火山	10057.040	0084.280				
亀	213 龠	2771.6	NWLU	弓田中山	80010.190	0084.321				
亁	5 亅		JJON	十十人弓	10057.070	0084.321				
亂	5 亅	2221.0	BBU	月月山	10057.100	0084.330	1500	chaos		
亃	5 亅	9221.0	FQU	火手山	10058.010	0085.010				
亄	5 亅	4211.0	GTU	土廿山	10057.080	0085.020				
亅	6 二	2000.0	XN	難弓	10028.030	0085.090				
了	6 二	1720.7	NN	弓弓	10048.060	0085.110	95	(-ed)	101	(-ed)
亇	4 乙乚乛		NN	弓弓	10032.022	0085.111				
予	6 二	1720.2	NINN	弓戈弓弓	10052.020	0085.160	936	bestow	1007	bestow
争	6 二	2750.7	NSD	弓尸木	10324.120	0085.201			951	contend
亊	6 二	5000.7	JFLN	十火中弓	10021.111	0085.221				
事	6 二	5000.7	JLLN	十中中弓	10023.030	0085.240	878	matter	953	matter
二	7 亠	1010.0	MM	一一	10002.010	0086.010	2	two	2	two
亍	7 亠	1020.1	MMN	一一弓	10004.040	0086.050				
于	7 亠	1040.0	MD	一木	10004.050	0086.060	1230	Yu	1283	Yu
亏	7 亠	1002	XMMVS	難一一女尸	10005.010	0086.070			2286	loss
亐	7 亠		XXMKS	難難一大尸	10005.020	0086.071				
云	7 亠	1073.1	MMI	一一戈	10384.020	0086.080	395	utter	428	cloud
互	7 亠	1010.7	MVNM	一女弓一	10014.010	0086.090	629	mutual	681	mutual
亓	7 亠	1022.1	MML	一一中	10010.030	0086.100				
五	7 亠	1010.7	MDM	一木一	10011.030	0086.110	5	five	5	five
井	7 亠	5500.0	TT	廿廿	10010.040	0086.140	1312	well	1360	well
亖	7 亠		MMMM	一一一一	10010.020	0087.010				
亗	7 亠		UMM	山一一	10760.050	0087.030				
亘	7 亠	1010.6	MAM	一日一	10017.160	0087.040				
亙	7 亠	1010.6	MBM	一月一	10019.050	0087.070				
亚	1 丨	1010	MTC	一廿金	10017.140	0087.081			1353	Asia
些	7 亠	2110.1	YPMM	卜心一一	21441.080	0087.100	427	somewhat	461	somewhat
亜	7 亠	1010.6	XMLLM	難一中中一	10021.010	0087.111				
亝	7 亠		XIIIM	難戈戈戈一	10386.190	0087.120				
亞	7 亠	1010.7	MLLM	一中中一	10023.020	0087.130	1313	Asia		
亟	7 亠	1010.4	MEM	一水一	10055.070	0087.140				
亠	8 人亻	0000.0	XY	難卜	10279.040	0088.020				
亡	8 人亻	0071.0	YV	卜女	10279.050	0088.030	457	deceased	490	deceased
亢	8 人亻	0021.7	YHN	卜竹弓	10280.010	0088.040				
亣	8 人亻		YLL	卜中中	10279.070	0088.050				
交	8 人亻	0040.8	YCK	卜金大	10282.010	0088.060	969	mingle	1046	mingle
亥	8 人亻	0080.2	YVHO	卜女竹人	10283.050	0088.080	1136	sign of the hog	1196	sign of the hog
亦	8 人亻	0033.0	YLNC	卜中弓金	10281.030	0088.090	1496	likewise	1491	likewise
产	117 竹⺮	0020	YTH	卜廿竹	10283.030	0088.111			1314	products
亨	8 人亻	0020.7	YRNN	卜口弓弓	10284.030	0088.120	1607	go smoothly	1638	go smoothly
亩	8 人亻	0060	YW	卜田	10284.020	0088.161			324	Chinese acre
亪	8 人亻		YCMO	卜金一人	10284.031	0088.161				
享	8 人亻	0040.7	YRND	卜口弓木	10284.080	0088.170	297	enjoy	326	enjoy
京	8 人亻	0090.6	YRF	卜口火	10284.060	0088.190	301	capital	330	capital
亭	8 人亻	0020.1	YRBN	卜口月弓	10286.020	0089.030	299	pavilion	328	pavilion
亮	8 人亻	0021.7	YRBU	卜口月山	10286.030	0089.040	300	shiny	329	shiny
亯	8 人亻		YRA	卜口日	10285.050	0089.050				
亰	8 人亻	0090.6	YAF	卜日火	10285.040	0089.070				
