char	Radical	Four Corner Code	Cangjie input code	Cangjie input code (Chinese)	Hanyu Da Zidian	Kang Xi	Remembering the Traditional Hanzi	RTH keyword	Remembering the Simplified Hanzi	RSH keyword	~
严	1 一	1020	MTCH	一廿金竹	10019.100	0078.131			1355	strict	strict: Simplified form of 嚴.  Phonosemantic compound. 喦 represents the meaning and 敢 represents the sound. Based on the original meaning "exaggerate". The meaning later shifted to "extreme", "severe", and "strict". The traditional component 敢 was removed for simplification.
並	1 一	8010.2	TTC	廿廿金	10246.020 10248.030	0078.140	1302	side by side			side by side: Depits two people standing (立) side by side.
丧	24 十	4073	GCV	土金女	10022.010	0078.141			1427	funeral	mourning: Simplified form of 喪. Depicts multiple mouths (口) wailing to mourn the death (亡). 桑 and 亡 represent the sound.
丨	2 丨	2000	XL	難中	10028.020	0078.200					vertical line
个	2 丨	8020.0	OL	人中	10103.010	0078.230			258	individual	[measure word]: Pictograph of one stalk of bamboo. Same as one half of the character for bamboo (竹).
丫	2 丨	8020.0 8020.7	CL	金中	10028.060	0079.010					forked: Pictograph of a fork or branch.
丬	90 爿丬	3210	IML	戈一中	10028.061	0079.021					piece of wood: 丬 is a component form of 爿.
中	2 丨	5000.6	L	中	10028.100	0079.030	36	middle	38	middle	central: Depicts a flagpole. There is a circle in the middle marking the center of the flagpole. In older forms of the character, the flagpole  has streamers at the top and bottom used to show the direction of the wind
丮	2 丨	1751.0	NQ	弓手	10051.070	0079.060					catch: Pictograph of a person with both hands outstretched.
丯	2 丨		QJ	手十	10028.080	0079.070					
丰	2 丨	5000.0	QJ	手十	10028.070	0079.080			1225	plentiful	luxuriant: Depicts a growing plant with leaves.
丱	2 丨	2277.0	VLLLM	女中中中一	10052.120	0079.100					child's hairstyle bound in two tufts: Pictograph of a child's hairstyle with two tufts.
串	2 丨	5000.6	LL	中中	10030.020	0080.020	1504	string together	1506	string together	string: Pictograph of two objects on a skewer or strung together.
丳	2 丨	5500.6	LLWW	中中田田	10030.040	0080.040					spit
临	2 丨	2806	LLOA	中中人日	10030.050	0080.071			1012	be about to	draw near: Simplified form of 臨.  Depicts a person (人) looking (臣) down at a pile of objects (品). 品 also represents the sound. Based on the original meaning, "to look down". The meaning has shifted over time and now means "draw near".
丵	2 丨		TCTJ	廿金廿十	10030.060	0080.080					chisel: Depicts a chisel-shaped tool or weapon. Related to 鑿 (chisel). Used in 對 to depict a tool to develop land, in 業 as a weapon to conquer territory, and in 菐 as an implement to pound something with.
丶	3 丶	3000.0	XI	難戈	10042.080	0080.120					dot: Depicts a dot.
丷	3 丶		XC	難金	10042.091	0080.121					eight
丸	3 丶	5001.7	KNI	大弓戈	10042.110	0080.150	41	pill	42	pill	small round object: Pictograph of a person bent down and curled up. The meaning later shifted to "small round object" and "pellet, pill".
丹	3 丶	7744.0	BY	月卜	10044.010	0080.160	1537	cinnabar red	1554	cinnabar red	cinnabar (native HgS): Depicts a chunk of cinnabar found in a well for mining.
为	3 丶	3402	IKSI	戈大尸戈	10044.020	0080.191			746	act	do: Simplified form of 為.  Pictograph of a hand (又) guiding an elephant (象) to do work (in ancient China elephants were tamed to do work). Based on the meaning "to work; to do".
主	3 丶	0010.4	YG	卜土	10044.030	0080.200	259	lord	277	lord	master: Pictograph of a memorial tablet used for spiritual rituals, similar to 示.
丼	3 丶	5500.0	TTI	廿廿戈	10045.010	0081.010					bowl of food
丽	3 丶	1022	MMBB	一一月月	10021.030 10024.050	0081.040			187	lovely	beautiful: Simplified form of 麗.  Pictograph of a deer (鹿) with two beautiful antlers. The traditional component 鹿 was removed for simplification.
举	3 丶	9050	FCQ	火金手	10047.030	0081.041			1434	lift up	raise: Simplified form of 舉.  Phonosemantic compound. 手 represents the meaning and 與 represents the sound.
丿	4 丿乀⺄	2000.0	XL	難中	10031.020	0081.060					line: Line curving downwards to the left.
乀	4 丿乀⺄		XMO	難一人	10042.090	0081.070					stretch
乁	4 丿乀⺄		XXMO	難難一人	10048.030	0081.090					
乂	4 丿乀⺄	4000.0	K	大	10031.030	0081.100					mow grass: Pictograph of a shears-like tool for cutting grass.
乃	4 丿乀⺄	1722.7	NHS	弓竹尸	10031.050	0081.120	582	only then	625	only then	then: Possibly depicts a woman standing sideways with her breasts protruding. Based on the original meaning "breast", now written as 奶. The current meaning is a phonetic loan.
乄	4 丿乀⺄		XXKU	難難大山	10049.051	0081.181					
久	4 丿乀⺄	2780.0	NO	弓人	10033.030	0081.190	778	long time	839	long time	long time (ago): Depicts an arrow nock. The nock is the part of an arrow that is held against the bowstring before being launched. Based on the original meaning "arrow nock", now written as 氒. The current meaning is a phonetic loan.
乇	4 丿乀⺄	2071.4	HP	竹心	10032.010	0082.020					to depend on: Origin unclear. Traditionally explained as a pictograph of a blade of grass.
么	4 丿乀⺄	2073.2	HI	竹戈	10033.020	0082.030			670	(suffix)	[question particle]: Variant form of 幺, which is a pictograph of a twisted thread.
义	4 丿乀⺄	4000	IK	戈大	10042.100	0082.031			1182	righteousness	justice: Adapted from the cursive form of the traditional character 義. Phonosemantic compound. 羊 represents the meaning and 我 represents the sound. In ancient China sheep (羊) were associated with goodness and beauty, which is why 羊 is a component in characters like 美 (beautiful), 善 (benevolent), and 義 (justice).
乊	4 丿乀⺄		HC	竹金	10032.021	0082.031					kwukyel
之	4 丿乀⺄	3030.7	INO	戈弓人	10043.010	0082.040	921	of	990	of	[attributive particle]: Pictograph of a foot (止) going out of an area. The current meaning is a phonetic loan.
乌	4 丿乀⺄	2712	PVSM	心女尸一	10034.100	0082.051			2873	crow	crow: Simplified form of 烏.  Pictograph of a crow. Similar to 鳥.
乍	4 丿乀⺄	8021.1	HS	竹尸	10035.030	0082.060	865	for the first time	937	for the first time	suddenly: Pictograph of a blade for cutting trees. Original form of 柞. The current meaning is a phonetic loan.
乎	4 丿乀⺄	2040.9	HFD	竹火木	10036.080	0082.070	1106	ooh!	1165	ooh!	interrogative or exclamatory final particle: Depicts wind rustling through a tree branch (丂). Based on the original meaning "exhale, shout", now written as 呼. The current meaning is a phonetic loan.
乏	4 丿乀⺄	2030.7	HINO	竹戈弓人	10034.030	0082.100	922	weary	991	weary	lack: Line over 之 (foot), similar to how 正 (straight; correct) is a line over 止 (foot). Possibly represents the opposite of 正, since the top line in 乏 is written in the opposite direction as the top line in 正.
乐	4 丿乀⺄	7290	HVD	竹女木	10037.050	0082.131			662	music	happy: Pictograph of an ancient wooden stringed musical instrument. The simplified character 乐 was adapted from the cursive form of the traditional character 樂.
乑	4 丿乀⺄		OHHO	人竹竹人	10038.050	0082.150					people standing side-by-side: Depicts 3 people standing side-by-side. Ancient variant of 眾.
乒	4 丿乀⺄	7220.1	OMH	人一竹	10038.030	0083.011	2999	ping	2999	ping	ping: Derived from 兵 (bīng), with one stroke removed. Symmetric with 乓, so that 乒乓 (pīngpāng) resembles the back-and-forth motion of ping-pong.
乓	4 丿乀⺄	7203.1	OMI	人一戈	10038.040	0083.011	3000	pong	3000	pong	pong: Derived from 兵 (bīng), with one stroke removed. Symmetric with 乒, so that 乒乓 (pīngpāng) resembles the back-and-forth motion of ping-pong.
乔	37 大	2022	HKLL	竹大中中	10038.010	0083.011			441	pretend	tall: Simplified form of 喬.  Originally written the same as 高 (tall). The top part of the character was altered to distinguish 喬 from 高.
乕	4 丿乀⺄	7222.7	HQB	竹手月	10069.230	0083.021					tiger
乖	4 丿乀⺄	2011.1	HJLP	竹十中心	10038.180	0083.030	1677	well-behaved	1705	well-behaved	rebel
乗	4 丿乀⺄	2090.4	HDT	竹木廿	10039.080	0083.081					ride
乘	4 丿乀⺄	2090.1	HDLP	竹木中心	10040.010	0083.090	1678	hitch a ride	1706	hitch a ride	ride: Depicts a person (人) who has climbed up a tree (木).
乙	5 乙乚乛	1771.0	NU	弓山	10047.040	0083.150	91	second	95	second	second: Depicts a stream of water.
乚	5 乙乚乛		XU	難山	10048.041	0083.170					turning stroke: Variant of 乙.
乛	5 乙乚乛		XN	難弓	10048.042	0083.171					kwukyel
乜	5 乙乚乛	4771.2	PN	心弓	10049.090	0083.180					to squint
九	5 乙乚乛	4001.7	KN	大弓	10048.050	0083.190	9	nine	9	nine	nine: Depicts an elbow. Based on the original meaning "elbow", now written as 肘. The current meaning is a phonetic loan.
乞	5 乙乚乛	8071.7	ON	人弓	10050.070	0084.030	434	beg	470	beg	beg: Originally a variant of 气, which depicts a gust of air. The current meaning is a phonetic loan.
也	5 乙乚乛	4471.2	PD	心木	10050.050	0084.040	476	also	505	also	also: Depicts a child opening its mouth to cry. Original form of 嗁. The modern meaning is a phonetic loan.
习	15 冫	1712	SIM	尸戈一	10051.030	0084.051			545	learn	practice: Simplified form of 習.  Phonosemantic compound. 彗 represents the sound and 日 represents the meaning. Based on the original meaning "to scorch". The current meaning is a phonetic loan. The traditional component 日 was removed for simplification.
乡	52 幺么	2020	VVH	女女竹	10051.050	0084.051			1387	countryside	hometown: Simplified form of 鄉.  Pictograph of two people facing each other, kneeling down to share a meal. Based on the original meaning "feast" or "offer food", now written as 饗. The meaning later shifted to "hometown". The right two components were removed for simplification.
乢	5 乙乚乛	2271.0	XXXUA	難難難山日	10760.010	0084.071					lid
乣	5 乙乚乛		VIU	女戈山	10052.060	0084.071					
乤	5 乙乚乛		MYN	一卜弓	10051.101	0084.071					first character of Korean place name 'Halpho'
乥	5 乙乚乛		HCN	竹金弓	10051.161	0084.071					kwukyel
书	2 丨	5302	IDS	戈木尸	10052.050	0084.071			1393	book	book: Simplified form of 書.  Phonosemantic compound. 聿 represents the meaning and 者 represents the sound. The simplified character 书 is derived from the cursive form of 書.
乧	5 乙乚乛		YJN	卜十弓	10053.011	0084.101					
乨	5 乙乚乛		IRU	戈口山	10053.120	0084.110					the beginning
乩	5 乙乚乛	2261.0	YRU	卜口山	10053.050	0084.120					to divine
乪	5 乙乚乛		NW	弓田	10053.070	0084.141					(Cant.) a bend in a river
乫	5 乙乚乛		KRN	大口弓	10053.111	0084.141					used in Korean place names
乬	5 乙乚乛		SSN	尸尸弓	10052.091	0084.141					
乭	5 乙乚乛		MRN	一口弓	10053.041	0084.141					rock
乮	5 乙乚乛		HLN	竹中弓	10053.081	0084.141					
乯	5 乙乚乛		HFDN	竹火木弓	10053.082	0084.141					
买	37 大	1780	NYK	弓卜大	10053.100	0084.141			858	buy	buy: Pictograph of money (貝) coming out of a netted bag (网). The simplified character 买 was adapted from the cursive form of the traditional character 買.
乱	5 乙乚乛	2261.0	HRU	竹口山	10053.170	0084.150			100	chaos	confusion, mess: Simplified form of 亂.  Depicts two hands (爪, 又) organizing tangled threads.
乲	5 乙乚乛		ION	戈人弓	10053.171	0084.161					
乳	5 乙乚乛	2241.0	BDU	月木山	10055.040	0084.170	2362	breast	2430	breast	breast, milk: Depicts a mother holding (爫) a child (子) breastfeeding it.
乴	5 乙乚乛		QLN	手中弓	10054.010	0084.180					
乵	5 乙乚乛		YJU	卜十山	10055.050	0084.190					to enter
乶	5 乙乚乛		IBN	戈月弓	10054.021	0084.201					Korean place name Pholha
乷	5 乙乚乛		EHN	水竹弓	10055.051	0084.201					
乸	80 毋母		PDWYI	心木田卜戈	42382.040	0084.201					(Cant.) feminine suffix
乹	5 乙乚乛		XJJU	難十十山	10056.010	0084.210					dry: Variant of 乾.
乺	5 乙乚乛		XHLN	難竹中弓	10056.041	0084.241					painting tool place name
乻	5 乙乚乛		YYN	卜卜弓	10056.051	0084.241					
乼	5 乙乚乛		EGN	水土弓	10056.052	0084.241					rope
乽	5 乙乚乛		JAN	十日弓	10056.071	0084.241					
乾	5 乙乚乛	4841.7	JJON	十十人弓	10056.100	0084.250	436	dry			dry: 倝 is used to represent the sound. 乙 is a distinguishing stroke.
乿	5 乙乚乛	2291.0	BFU	月火山	10057.040	0084.280					to cure
亀	213 龜	2771.6	NWLU	弓田中山	80010.190	0084.321					turtle or tortoise
亁	5 乙乚乛		JJON	十十人弓	10057.070	0084.321					dry: Variant of 乾.
亂	5 乙乚乛	2221.0	BBU	月月山	10057.100	0084.330	1500	chaos			confusion, mess: Depicts two hands (爫, 又) organizing tangled threads.
亃	5 乙乚乛	9221.0	FQU	火手山	10058.010	0085.010					name of a kind of animal
亄	5 乙乚乛	4211.0	GTU	土廿山	10057.080	0085.020					greedy
亅	6 亅	2000.0	XN	難弓	10028.030	0085.090					hook
了	6 亅	1720.7	NN	弓弓	10048.060	0085.110	95	(-ed)	101	(-ed)	finish: Pictograph of a young child, similar to 子, but without arms. Compare to 孑 (child only with right arm) and 孓 (child only with left arm). The current meaning is a phonetic loan.
